datetime,Open,High,Low,Close,Volume
2022-01-02 18:00:00,1828.604,1831.624,1828.544,1830.414,1389
2022-01-02 18:15:00,1830.454,1830.674,1828.918,1829.238,610
2022-01-02 18:30:00,1829.238,1829.339,1828.348,1828.354,506
2022-01-02 18:45:00,1828.348,1828.388,1827.898,1828.354,402
2022-01-02 19:00:00,1828.294,1828.328,1827.344,1827.368,695
2022-01-02 19:15:00,1827.368,1828.968,1826.888,1828.878,1043
2022-01-02 19:30:00,1828.878,1830.858,1828.318,1829.358,1455
2022-01-02 19:45:00,1829.358,1830.434,1829.208,1830.158,1324
2022-01-02 20:00:00,1830.128,1831.044,1829.498,1830.759,1232
2022-01-02 20:15:00,1830.779,1831.458,1830.679,1831.034,782
2022-01-02 20:30:00,1831.014,1831.014,1827.768,1828.094,2305
2022-01-02 20:45:00,1828.064,1828.908,1827.494,1828.728,1345
2022-01-02 21:00:00,1828.728,1828.798,1826.498,1826.888,1159
2022-01-02 21:15:00,1826.888,1827.588,1826.538,1827.558,804
2022-01-02 21:30:00,1827.578,1827.578,1825.588,1826.648,1173
2022-01-02 21:45:00,1826.638,1826.828,1825.918,1826.088,666
2022-01-02 22:00:00,1826.088,1826.768,1825.598,1826.458,713
2022-01-02 22:15:00,1826.438,1826.438,1824.438,1825.208,1079
2022-01-02 22:30:00,1825.238,1825.238,1824.068,1824.788,894
2022-01-02 22:45:00,1824.788,1825.618,1824.398,1825.618,758
2022-01-02 23:00:00,1825.618,1825.654,1824.868,1825.348,464
2022-01-02 23:15:00,1825.314,1825.778,1825.258,1825.688,363
2022-01-02 23:30:00,1825.728,1825.854,1825.344,1825.488,398
2022-01-02 23:45:00,1825.468,1825.498,1824.448,1825.028,583
2022-01-03 00:00:00,1825.038,1825.268,1824.628,1824.678,509
2022-01-03 00:15:00,1824.648,1824.698,1823.594,1824.138,673
2022-01-03 00:30:00,1824.138,1825.238,1824.058,1825.218,952
2022-01-03 00:45:00,1825.218,1825.648,1824.908,1825.338,497
2022-01-03 01:00:00,1825.328,1825.618,1824.658,1824.938,793
2022-01-03 01:15:00,1824.878,1824.918,1823.578,1823.828,623
2022-01-03 01:30:00,1823.838,1824.888,1823.578,1824.734,828
2022-01-03 01:45:00,1824.688,1825.358,1824.688,1825.168,784
2022-01-03 02:00:00,1825.248,1825.278,1820.908,1822.754,1927
2022-01-03 02:15:00,1822.758,1823.608,1821.838,1822.275,1450
2022-01-03 02:30:00,1822.275,1823.278,1822.255,1822.608,712
2022-01-03 02:45:00,1822.608,1824.148,1822.268,1824.148,1114
2022-01-03 03:00:00,1824.138,1824.238,1822.638,1823.078,1453
2022-01-03 03:15:00,1823.068,1823.238,1822.0,1822.138,1497
2022-01-03 03:30:00,1822.138,1822.138,1821.238,1821.918,1210
2022-01-03 03:45:00,1821.928,1823.208,1821.888,1822.774,1345
2022-01-03 04:00:00,1822.784,1824.954,1822.368,1824.844,1544
2022-01-03 04:15:00,1824.844,1825.028,1823.988,1824.198,1403
2022-01-03 04:30:00,1824.188,1824.998,1823.989,1824.948,1233
2022-01-03 04:45:00,1824.948,1826.578,1824.894,1826.304,1538
2022-01-03 05:00:00,1826.294,1827.404,1826.228,1827.059,1259
